Title;Permalink;Slug;_yoast_wpseo_metadesc;_yoast_wpseo_title;_yoast_wpseo_focuskw;Status
Retail;https://localsite.com/retail/;retail;From secure machine images and entire PCI environments to automated compliance and audits, Anitian is the answer for anyone dealing with payment requirements.;;Retail Solutions;publish
SaaS and DevOps;https://localsite.com/saas-devops/;saas-devops;Our Compliance Automation and SecOps offerings were built using DevOps methodologies, and align seamlessly with your CI/CD pipeline.;;SaaS and DevOps;publish
EULA;https://localsite.com/ca-eula/;ca-eula;This End User License Agreement (“EULA”) governs Subscriber’s license and use of certain Software and/or Products developed by Anitian, Inc.;;;publish
Customer Payment Portal;https://localsite.com/customer-payment-portal/;customer-payment-portal;To pay your bill, please click the button below. After clicking, you will be taken to a secure 3rd party site sponsored by Authorize.net.;;;publish
Privacy Policy;https://localsite.com/privacy-policy/;privacy-policy;This page discloses the privacy practices and disclaimers for Anitian.com.;;Privacy Policy;publish
Posts;https://localsite.com/posts/;posts;;;;publish
All Posts;https://localsite.com/all-posts/;all-posts;The official blog for Anitian's news, tips, and updates. Your go-to place for insightful articles on compliance automation, cloud security, and more!;Blog %%sep%% %%sitename%%;blog;publish
Resources Download;https://localsite.com/resources-download/;resources-download;Complete this form and one of our friendly Business Development representatives will email your requested resources right away.;;Download resources;publish
Resources Download - Thank You;https://localsite.com/resources-thanks/;resources-thanks;Thank you for requesting resources from Anitian! Your form has been submitted and a member of our team will be in touch shortly.;Thanks for Requesting Resources %%sep%% Anitian;;publish
eBook Download - Thank You;https://localsite.com/ebook-download-thank-you/;ebook-download-thank-you;Thank you. We are sending a copy of the eBook to the email address you provided.;;;publish
Case Study Download: FedRAMP Case Studies;https://localsite.com/gated-case-study-download-fedramp-case-studies/;gated-case-study-download-fedramp-case-studies;Learn how companies used Anitian Compliance Automation for FedRAMP to accelerate their time to market and offload internal teams.;;FedRAMP;publish
Case Study Download - Thank You;https://localsite.com/case-study-download-thank-you/;case-study-download-thank-you;Thank you for downloading. We have just sent you links to view the case studies at the email address you provided.;;;publish
Puppet State of Devops Report Page;https://localsite.com/2019_state_of_devops_report/;2019_state_of_devops_report;;;;publish
Report Download - Thank You;https://localsite.com/report-download-thank-you/;report-download-thank-you;We have just sent you a link to view the report at the email address you provided. In the meantime, check out these additional resources.;;;publish
2019 State of DevOps Report;https://localsite.com/2019-state-of-devops-report/;2019-state-of-devops-report;Explore how high-performing organizations integrate security into the software delivery lifecycle, and the resulting business outcomes.;;;publish
Webinar Replay: Overcome Barriers to Unite Security and DevOps;https://localsite.com/webinar-replay-overcome-barriers-to-unite-security-and-devops/;webinar-replay-overcome-barriers-to-unite-security-and-devops;You’re all set! You may begin watching the on-demand webinar now.;;;publish
Overcome Barriers to Unite Security and DevOps;https://localsite.com/webinar-overcome-barriers-to-unite-security-and-devops-gated/;webinar-overcome-barriers-to-unite-security-and-devops-gated;Learn how security and DevOps can overcome these barriers to bring security (as well as compliance) into full alignment with DevOps and CICD pipelines.;Webinar: Overcome Barriers to Unite Security and DevOps %%sep%% Anitian;Webinar;publish
Webinar Recording - Thank You;https://localsite.com/webinar-thank-you/;webinar-thank-you;Thank you. A link to access the webinar recording has been sent to the email address provided.;;;publish
Anitian and AWS;https://localsite.com/aws-and-anitian/;aws-and-anitian;The fastest path to AWS automation compliance, security, and FedRAMP readiness. Schedule a demo to learn more about FedRAMP Automation.;AWS Compliance Automation and FedRAMP Services %%sep%% Anitian;AWS;publish
Thank You;https://localsite.com/thank-you/;thank-you;Thank you. A member of the Anitian team will be in touch soon.;;;publish
DevSecOps SaaS;https://localsite.com/devsecops-saas/;devsecops-saas;Our DevSecOps for SaaS offers compliance automation for SaaS providers. See how you can meet compliance standards in a fraction of the time.;DevSecOps SaaS CyberSecurity Compliance | Anitian;DevSecOps SaaS;publish
DevSecOps Retail;https://localsite.com/devsecops-retail/;devsecops-retail;Our DevSecOps for retail transforms security compliance. See how our platform helps security teams meet compliance and security requirements.;DevSecOps Retail CyberSecurity %%sep%% Anitian;DevSecOps Retail;publish
DevSecOps Government;https://localsite.com/devsecops-government/;devsecops-government;Our DevSecOps for Government and Federal Government deploys a stack of security tools and controls. See how we protect your data!;DevSecOps Tools for Federal Government %%sep%% Anitian;DevSecOps Government;publish
